epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9881,0.94418,4.54304,1.26797,0.59259,0.19402,0.18945,0.15923,0.64366,4.50003,1.11982,0.000455623,0.000455623,0.000455623
2,61.3947,1.01943,2.44073,1.26756,0.7244,0.31748,0.25812,0.18463,0.96797,3.4813,1.36988,0.00092273,0.00092273,0.00092273
3,82.586,1.122,1.84322,1.35199,0.7603,0.2403,0.29226,0.18273,0.97715,4.66437,1.35355,0.00138041,0.00138041,0.00138041
4,104.344,1.0318,1.51532,1.28684,0.3295,0.72557,0.49295,0.24504,1.0093,5.43189,1.39995,0.00138656,0.00138656,0.00138656
5,127.321,1.01918,1.41759,1.31392,0.58038,0.81195,0.74511,0.55573,0.94856,2.891,1.38223,0.00137241,0.00137241,0.00137241
6,149.495,0.99042,1.24846,1.26406,0.58571,0.73983,0.78257,0.58929,0.79884,2.84361,1.33004,0.00135826,0.00135826,0.00135826
7,171.829,0.93441,1.17851,1.2366,0.70997,0.83303,0.75304,0.54924,0.74655,2.04612,1.21188,0.00134412,0.00134412,0.00134412
8,193.846,0.92794,1.10614,1.25417,0.4778,0.72413,0.63367,0.44042,0.77773,1.96138,1.22137,0.00132997,0.00132997,0.00132997
9,215.171,0.8704,1.11876,1.16714,0.64031,0.88468,0.70751,0.5497,0.76643,1.48855,1.22867,0.00131582,0.00131582,0.00131582
10,237.011,0.91805,1.14998,1.23547,0.62477,0.6839,0.72197,0.55697,0.7074,1.08988,1.16568,0.00130168,0.00130168,0.00130168
11,258.822,0.86465,1.04086,1.1879,0.94399,0.45442,0.57379,0.4549,0.80325,1.28348,1.17,0.00128753,0.00128753,0.00128753
12,280.222,0.83454,0.98532,1.15632,0.61168,0.5339,0.61107,0.49279,0.68802,1.25868,1.10599,0.00127338,0.00127338,0.00127338
13,303.481,0.85144,1.02507,1.20107,0.60904,0.89071,0.7778,0.60781,0.7479,1.1049,1.17561,0.00125923,0.00125923,0.00125923
